AAname;have;type;date;place;color;price;currency;
Increasing Ambition;already;S;20141203;ChannelFireball;black;$0.44;proposed;
Inferno Titan;already;C;20150115;ChannelFireball;red;$1.25;proposed;
Insidious Dreams;already;I;20160825;GeorgeTrade;black;$2.70;proposed;
Intruder Alarm;already;E;20161110;Starcitygames;blue;$4.19;proposed;
Invasion of Gobakhan;already;B;20230422;Pack;white;$2.50;proposed;
Invasion of Gobakhan;already;B;20230601;Pack;white;$10.80;proposed;
Invisible Stalker;already;C;20140429;ChannelFireball;blue;$0.99;proposed
Island Sanctuary;already;E;20170126;ChannelFireball;white;$0.19;proposed;
Isochron Scepter;already;A;20160427;Endgames;colorless;$5.40;USD_mtggf;
Ivy Lane Denizen;already;C;20140429;ChannelFireball;green;$0.40;proposed
Izzet Boilerworks;already;L;20151027;PUCATrade;colorless;$0.29;proposed;
Izzet Charm;already;I;20150414;PUCATrade;multicolored;$0.69;proposed;
Izzet Signet;already;A;20150115;ChannelFireball;colorless;$0.49;proposed;
Jace Beleren;already;P;20150101;TradeGamesCapital;blue;$10.00;proposed;
Jace's Archivist;already;C;20170126;ChannelFireball;blue;$0.35;proposed;
Jack-in-the-Mox;already;A;20180509;CardKingdom;colorless;$3.19;proposed;
Jetmir, Nexus of Revels;already;C;20220901;Ronin;multicolored;$4.00;proposed;
Joraga Treespeaker;already;C;20150115;ChannelFireball;green;$1.34;proposed;
Journey to Nowhere;already;E;20150420;PUCATrade;white;$0.27;proposed;
Karador, Ghost Chieftain;already;C;20190211;GeorgeTrade;multicolored;$10.46;USD_mtgf;
Karmic Guide;already;C;20150422;PUCATrade;white;$2.55;proposed;
Karn, Scion of Urza;already;P;20200422;ScottMunroTrade;colorless;$4.99;proposed;
Karplusan Minotaur;already;C;20190704;Starcitygames;red;$3.25;proposed;
Kill Switch;already;A;20170126;ChannelFireball;colorless;$0.49;proposed;
Killing Wave;already;S;20131010;ChannelFireball;black;$2.37;proposed;
Kira, Great Glass-Spinner;already;C;20170406;Endgames;blue;$17.09;USD_mtgf;
Kitchen Finks;already;C;20150115;ChannelFireball;multicolored;$3.99;proposed;
Knight of the White Orchid;already;C;20151130;PUCATrade;white;$1.97;proposed;
Knowledge Exploitation;already;S;20150323;GeorgeTrade;blue;$1.75;USD_mtggf;
Kodama of the West Tree;already;C;20230218;Ronin;green;$11.50;proposed;
Kodama's Reach;already;S;20151028;PUCATrade;green;$0.79;proposed;
Kolaghan, the Storm's Fury;already;C;20150305;PUCATrade;multicolored;$0.94;proposed;
Kormus Bell;already;A;20160825;GeorgeTrade;colorless;$0.50;proposed;
Korvold, Fae-Cursed King;already;C;20230410;CardKingdom;multicolored;$11.99;proposed;
Kozilek, the Great Distortion;already;C;20160107;PUCATrade;colorless;$18.98;proposed;
Krosan Grip;already;I;20170406;Endgames;green;$0.99;USD_mtggf;
Lae'Zel's Acrobatics;already;I;20221001;pack;white;$1.00;proposed;
Lantern of Insight;already;A;20170406;Endgames;colorless;$3.78;USD_mtggf;
Last Word;already;I;20131013;ChannelFireball;blue;$3.56;proposed;
Leovold, Emissary of Trest;already;C;20190320;GeorgeTrade;multicolored;$8.00;proposed;
Leyline of Anticipation;already;E;20161110;Starcitygames;blue;$5.59;proposed;
Leyline of Singularity;already;E;20161110;Starcitygames;blue;$0.55;proposed;
Leyline of the Void;already;E;20170126;ChannelFireball;black;$15.99;proposed;
Library of Leng;already;A;20211228;PlentyofGames;colorless;$3.10;proposed;
Lightning Bolt;already;I;20140429;ChannelFireball;red;$7.16;proposed
Lightning Greaves;already;A;20150323;GeorgeTrade;colorless;$6.17;USD_mtgf;
Lightning Helix;already;I;20160427;Endgames;multicolored;$4.49;USD_mtgf;
Liliana Vess;already;P;20141203;ChannelFireball;black;$6.99;proposed;
Linvala, Keeper of Silence;already;C;20170406;Endgames;white;$29.85;USD_mtgf;
Living Death;already;S;20141203;ChannelFireball;black;$2.49;proposed;
Llawan, Cephalid Empress;already;C;20211228;PlentyofGames;blue;$2.60;proposed;
Lost in the Mist;already;I;20131013;ChannelFireball;blue;$0.40;proposed;
Luminous Broodmoth;already;C;20230323;Ronin;white;$18.00;proposed;
Luxior, Giada's Gift;already;A;20221101;Ronin;colorless;$10.50;proposed;
Luxury Suite;want;L; ; ;colorless;$0.00;proposed;
Machine God's Effigy;already;A;20230410;CardKingdom;colorless;$2.49;proposed;
Magus of the Future;already;C;20150323;GeorgeTrade;blue;$1.55;USD_mtgf;
Magus of the Wheel;already;C;20160309;PUCATrade;red;$3.94;proposed;
Mana Reflection;already;E;20160723;PUCATrade;green;$21.08;proposed;
Mana Tithe;already;I;20190320;GeorgeTrade;white;$1.75;proposed;
Mana Vault;already;A;20180509;CardKingdom;colorless;$26.99;proposed;
Mana Web;already;A;20170126;ChannelFireball;colorless;$5.99;proposed;
Manamorphose;already;I;20150115;ChannelFireball;multicolored;$2.49;proposed;
